id,first_name,last_name,risk,resiliency,risk_calculation,risk_category
1,Sheilah,Bricklebank,69,65,-4,critical
2,Marcelline,Goodday,57,38,-19,critical
3,Jolene,Marlowe,33,15,-18,critical
4,Lilly,Surtees,84,42,-42,critical
5,Wilt,Hunnicutt,6,6,0,high
6,Susann,Boulsher,23,73,50,low
7,Christie,Issac,87,71,-16,critical
8,Holli,Auger,83,40,-43,critical
9,Nevsa,Goodspeed,99,100,1,high
10,Martina,Biesterfeld,56,83,27,medium
11,Stephenie,Blacket,42,66,24,high
12,Nataniel,Fergyson,6,17,11,high
13,Stavro,Chatburn,59,5,-54,critical
14,Susan,Bossel,3,20,17,high
15,Linus,Skeath,25,77,52,low
16,Rustin,Hunnybun,39,30,-9,critical
17,Alyse,Whittle,78,35,-43,critical
18,Marilin,Edgehill,25,48,23,high
19,Giovanna,Pring,60,48,-12,critical
20,Danyelle,Stonner,80,22,-58,critical
21,Jerald,Yerrell,74,23,-51,critical
22,Ciro,Towell,38,28,-10,critical
23,Kevin,Stive,94,89,-5,critical
24,Saunderson,Fausch,27,3,-24,critical
25,Xerxes,Baskwell,43,20,-23,critical
26,Vanny,Dabrowski,13,15,2,high
27,Nico,Trigg,36,10,-26,critical
28,Annadiane,Vyel,31,69,38,medium
29,Doralyn,Tweedell,47,78,31,medium
30,Alvy,De Fraine,9,76,67,low
31,Lana,Spellecy,1,46,45,medium
32,Roi,Crossfeld,30,54,24,high
33,Elvira,Merriday,28,54,26,medium
34,Herman,Sloegrave,37,37,0,high
35,Meade,Freer,16,36,20,high
36,Isidore,Flaxon,61,37,-24,critical
37,Yehudi,Jurs,10,32,22,high
38,Sybil,Loges,81,100,19,high
39,Cecilius,Charker,29,48,19,high
40,Donal,Toleman,89,46,-43,critical
41,Geno,Syson,38,74,36,medium
42,Jakob,Poundford,5,63,58,low
43,Randell,McGinlay,54,89,35,medium
44,Velvet,Milesap,5,49,44,medium
45,Eudora,Gohn,58,33,-25,critical
46,Antonia,Claessens,89,88,-1,critical
47,Donnell,Saxby,32,68,36,medium
48,Robinetta,Geipel,24,39,15,high
49,Karilynn,Tapply,22,45,23,high
50,Robinette,Fidgin,15,54,39,medium
51,Olivia,Brooksbie,48,73,25,medium
52,Gerick,Guyers,92,68,-24,critical
53,Catarina,Brahmer,47,63,16,high
54,Coralyn,O'Hanley,1,53,52,low
55,Belinda,Sammon,48,30,-18,critical
56,Shandra,Avarne,15,5,-10,critical
57,Dene,Iacomi,7,97,90,none
58,Honey,Hazeldine,36,61,25,medium
59,Alexandr,Avrahamov,27,85,58,low
60,Neel,Joslyn,63,37,-26,critical
61,Ramona,Inglis,88,99,11,high
62,Hayes,Dallison,50,69,19,high
63,Shane,Garrand,46,96,50,low
64,Simeon,Vidineev,45,22,-23,critical
65,Zonnya,McPhaden,21,38,17,high
66,Martelle,Garcia,32,75,43,medium
67,Reube,Ellings,25,19,-6,critical
68,Sherie,Stuckes,81,17,-64,critical
69,Anatola,Hesey,95,32,-63,critical
70,Chalmers,Henrys,73,59,-14,critical
71,Gertie,Crannell,19,65,46,medium
72,Bonita,Tiffany,14,45,31,medium
73,Hiram,Bennit,78,25,-53,critical
74,Jemie,Coghlin,26,66,40,medium
75,Stacie,Sabater,40,77,37,medium
76,Marget,Frankiss,18,37,19,high
77,Ernst,Wingeat,34,81,47,medium
78,Corri,Kenshole,57,83,26,medium
79,Carolus,Roose,66,75,9,high
80,Gabe,Horsewood,9,25,16,high
81,Lauri,Fitch,78,76,-2,critical
82,Victor,Thornthwaite,3,92,89,none
83,Jenine,Coaster,50,64,14,high
84,Kathi,Greenhead,53,77,24,high
85,Sonnie,Ickeringill,12,78,66,low
86,Carlene,Kayser,100,14,-86,critical
87,Bride,Bilfoot,79,94,15,high
88,Alejandra,Nyles,53,61,8,high
89,Karim,Fogt,44,87,43,medium
90,Timmy,Pyner,28,36,8,high
91,Carin,Clooney,9,65,56,low
92,Dorie,Sandilands,68,25,-43,critical
93,Magda,Aasaf,46,38,-8,critical
94,Lucine,Blunsum,77,60,-17,critical
95,Felicity,Petriello,95,27,-68,critical
96,Pren,Gentil,93,68,-25,critical
97,Katey,Ickovicz,48,83,35,medium
98,Janette,Caldwall,26,71,45,medium
99,Padraic,O'Cannovane,86,66,-20,critical
100,Nefen,Towson,94,20,-74,critical
101,Hurlee,Luckman,84,75,-9,critical
102,Kaleena,Grigoriscu,31,58,27,medium
103,Mendie,Medway,68,90,22,high
104,Marietta,Goldspink,8,72,64,low
105,Marcus,Ivoshin,59,45,-14,critical
106,Marga,Garbutt,70,58,-12,critical
107,Meyer,Casserly,24,42,18,high
108,Harriett,Hankinson,85,99,14,high
109,Melli,Croxon,69,99,30,medium
110,Georgia,Zorn,23,60,37,medium
111,Charmain,Salmons,50,7,-43,critical
112,Bari,Gibbieson,97,77,-20,critical
113,Fulvia,Blackater,19,39,20,high
114,Amalita,Potapczuk,13,13,0,high
115,Kinnie,Kivits,15,47,32,medium
116,Odelinda,Killerby,34,56,22,high
117,Myles,Ginnety,76,40,-36,critical
118,Bowie,Lilliman,99,16,-83,critical
119,Cassandry,Batterson,85,62,-23,critical
120,Dorree,Hundal,41,57,16,high
121,Tymothy,Annable,69,2,-67,critical
122,Robbi,Krabbe,41,60,19,high
123,Kamila,Habergham,9,91,82,none
124,Zack,Seatter,48,59,11,high
125,Bambi,Ducarne,13,95,82,none
126,Avery,Antonomoli,17,32,15,high
127,Ole,Downage,90,87,-3,critical
128,Willem,Feldman,38,20,-18,critical
129,Aldrich,Jarmain,79,7,-72,critical
130,Cyndy,McRae,59,10,-49,critical
131,Angie,Lawn,60,77,17,high
132,Iona,Peschka,87,100,13,high
133,Sherrie,Bogue,44,89,45,medium
134,Pennie,Dreinan,64,69,5,high
135,Cissiee,Stetlye,99,43,-56,critical
136,Shena,Timmermann,10,11,1,high
137,Joannes,Pinney,25,45,20,high
138,Baird,Vasishchev,81,16,-65,critical
139,Lynnea,Barnhill,56,79,23,high
140,Early,McCobb,95,49,-46,critical
141,Wright,MacSorley,67,88,21,high
142,Morgen,Vautier,33,62,29,medium
143,Tadeo,Iley,64,11,-53,critical
144,Marcy,Shuttleworth,82,7,-75,critical
145,Harvey,Redihough,84,43,-41,critical
146,Rosabel,Gieves,65,19,-46,critical
147,Rubin,Sissens,81,70,-11,critical
148,Cathy,Dudson,12,85,73,low
149,Jareb,Rigolle,12,6,-6,critical
150,Zena,Monni,26,67,41,medium
151,Yule,Plinck,42,11,-31,critical
152,Annemarie,Hazeup,41,37,-4,critical
153,Barnabas,Menaul,11,100,89,none
154,Kiersten,Creggan,54,42,-12,critical
155,Patrice,Issacson,97,16,-81,critical
156,Bern,Cordrey,91,89,-2,critical
157,Rosalynd,Bethell,96,4,-92,critical
158,Albina,Doni,46,77,31,medium
159,Amalia,Karlik,53,78,25,medium
160,Caty,Harriagn,96,28,-68,critical
161,Dulciana,Adshead,3,84,81,none
162,Fallon,Webb-Bowen,37,54,17,high
163,Arron,Jell,12,73,61,low
164,Kristine,Benian,13,67,54,low
165,Lorain,Marqyes,52,73,21,high
166,Caldwell,Varlow,49,28,-21,critical
167,Kaitlynn,Sturman,34,91,57,low
168,Kenyon,Slowly,45,11,-34,critical
169,Bel,Liebmann,13,5,-8,critical
170,Sibella,Corby,50,31,-19,critical
171,Rustin,Alliband,81,7,-74,critical
172,Gavin,Dennidge,49,93,44,medium
173,Emmanuel,Wolledge,37,93,56,low
174,Clarita,Franschini,22,54,32,medium
175,Mady,Leijs,6,56,50,low
176,Bonnibelle,Scartifield,97,100,3,high
177,Blinny,Cullip,79,18,-61,critical
178,Livia,Louch,94,99,5,high
179,Ludwig,Mathivat,68,8,-60,critical
180,Silvana,Dunne,94,62,-32,critical
181,Vivyan,Van der Velden,38,70,32,medium
182,Frederic,Espinheira,94,48,-46,critical
183,Ripley,Portlock,15,25,10,high
184,Wendel,McElwee,68,15,-53,critical
185,Stern,Freak,76,57,-19,critical
186,Ram,Gruszka,38,84,46,medium
187,Selie,Castagneto,16,91,75,none
188,Kennedy,Tarbert,2,9,7,high
189,Ford,Christophe,29,39,10,high
190,Isaak,Ballay,75,28,-47,critical
191,Alverta,Wraith,42,25,-17,critical
192,Nonna,Philler,47,77,30,medium
193,Jenica,Pirolini,43,71,28,medium
194,Deirdre,Haddrell,5,90,85,none
195,Brandyn,Vorley,45,72,27,medium
196,Carin,Pales,23,17,-6,critical
197,Fraze,Wife,80,79,-1,critical
198,Aguistin,Vannet,6,58,52,low
199,Vilhelmina,Legh,87,37,-50,critical
200,Carl,Wozencraft,21,61,40,medium
201,Willie,Klemps,92,82,-10,critical
202,Hannie,Corah,48,95,47,medium
203,Lyn,Goscar,29,92,63,low
204,Marta,Carbin,55,86,31,medium
205,Gearard,Guly,19,40,21,high
206,Bastian,Bryden,20,31,11,high
207,Dori,Rodliff,47,2,-45,critical
208,Stafani,Reith,29,35,6,high
209,Axe,Gehrts,73,65,-8,critical
210,Onida,Havis,42,21,-21,critical
211,Briana,Zieme,56,20,-36,critical
212,Elston,Leahey,14,89,75,none
213,Christen,Gervaise,98,25,-73,critical
214,Blisse,Hasling,45,58,13,high
215,Thia,Hayto,15,45,30,medium
216,Ryan,O'Toole,91,75,-16,critical
217,Cirillo,Killeley,36,20,-16,critical
218,Bailey,Brilleman,11,7,-4,critical
219,Maren,Lande,41,48,7,high
220,Lowell,Huggins,99,38,-61,critical
221,Hailey,Gatcliff,65,93,28,medium
222,Benito,Ewer,2,61,59,low
223,Karen,Hazael,79,23,-56,critical
224,Edita,Cheltnam,80,74,-6,critical
225,Olly,Newnham,81,45,-36,critical
226,Elliott,Birtwistle,13,54,41,medium
227,Kinny,Gready,30,76,46,medium
228,Averil,Goodwins,83,6,-77,critical
229,Fidel,Duncklee,86,17,-69,critical
230,Aime,Anthony,11,53,42,medium
231,Tad,Burg,42,15,-27,critical
232,Maryrose,Pinnijar,44,94,50,low
233,Kerry,Martin,39,72,33,medium
234,Cassius,Pretty,69,44,-25,critical
235,Katerine,Petrasek,31,64,33,medium
236,Hulda,Jerzykiewicz,92,47,-45,critical
237,Bentlee,Paladini,39,20,-19,critical
238,Hamilton,Taffley,20,36,16,high
239,Worthy,Arrigo,95,76,-19,critical
240,Tim,MacCarroll,44,31,-13,critical
241,Shaina,McGrail,82,58,-24,critical
242,Rachele,Scrowson,46,22,-24,critical
243,Jobi,Elsbury,55,46,-9,critical
244,Emerson,Pittwood,51,67,16,high
245,Carri,Brion,27,87,60,low
246,Bernita,Kibbey,99,73,-26,critical
247,Valene,Chaffe,25,66,41,medium
248,Bayard,Syvret,53,84,31,medium
249,Florry,Szach,25,92,67,low
250,Anselma,Hurdidge,27,52,25,medium
251,Syman,Coulthart,25,45,20,high
252,Clive,Pinckard,79,65,-14,critical
253,Clement,Powling,60,49,-11,critical
254,Janna,Pegg,11,88,77,none
255,Rosaline,Tatnell,28,23,-5,critical
256,Stevena,Dominec,31,44,13,high
257,Kimmie,Beckers,88,20,-68,critical
258,Rodolph,Fleischmann,66,71,5,high
259,Meg,Filshin,79,42,-37,critical
260,Amitie,Keddy,50,69,19,high
261,Duane,Roselli,73,23,-50,critical
262,Anne-marie,Kerswell,10,46,36,medium
263,Cicely,Hartwright,38,88,50,low
264,Jasmina,Hurndall,71,81,10,high
265,Basilio,Rubin,91,40,-51,critical
266,Pernell,Pencott,75,31,-44,critical
267,Gusta,Lemmer,17,94,77,none
268,Bondy,Oldland,99,22,-77,critical
269,Winnifred,Caras,28,96,68,low
270,Orelie,Fattori,41,89,48,medium
271,Madalyn,Swan,29,18,-11,critical
272,Claresta,Maudson,11,54,43,medium
273,Josefa,Feld,89,95,6,high
274,Gorden,Morford,21,69,48,medium
275,Monti,Wortman,66,28,-38,critical
276,Geraldine,Lightollers,20,93,73,low
277,Callida,Capini,34,91,57,low
278,Rem,Van Der Walt,79,35,-44,critical
279,Cesare,Joddens,3,7,4,high
280,Albina,Rawsen,22,29,7,high
281,Jamill,Balbeck,25,36,11,high
282,Emmalee,Lankester,21,21,0,high
283,Jeremiah,Vedntyev,66,98,32,medium
284,Demetri,O'Fallowne,39,55,16,high
285,Horton,Feehan,17,23,6,high
286,Murielle,Normabell,88,80,-8,critical
287,Gracia,Bearcroft,72,36,-36,critical
288,Myrna,Braune,7,36,29,medium
289,Abra,Birley,93,73,-20,critical
290,Zoe,Boat,70,44,-26,critical
291,Elberta,McIlwraith,7,16,9,high
292,Skipton,Di Meo,43,39,-4,critical
293,Rochelle,Rodgers,63,34,-29,critical
294,Anatole,Stansbury,33,30,-3,critical
295,Archambault,MacVay,81,61,-20,critical
296,Pepillo,Reeson,2,82,80,none
297,Marcella,Pouton,6,19,13,high
298,Fairlie,Shallcrass,12,59,47,medium
299,Sherm,Place,11,52,41,medium
300,Peri,Antyshev,83,58,-25,critical
301,Ely,Kalberer,46,39,-7,critical
302,Kalvin,Writer,68,45,-23,critical
303,Ferd,Piggins,4,54,50,low
304,Henrietta,Galiero,93,61,-32,critical
305,Arline,Dudeney,92,51,-41,critical
306,Lance,Fidgett,21,15,-6,critical
307,Anette,Coviello,18,98,80,none
308,Kipp,Petteford,20,43,23,high
309,Hedi,Wiffield,57,3,-54,critical
310,Julissa,MacCrackan,48,57,9,high
311,Roxane,Showers,92,6,-86,critical
312,Alick,Maceur,69,6,-63,critical
313,Hanan,Le Fevre,62,51,-11,critical
314,Alwin,Lyver,43,29,-14,critical
315,Tillie,Maving,20,31,11,high
316,Lutero,Deary,92,20,-72,critical
317,Mufinella,Bugden,12,25,13,high
318,Dalt,Zanioletti,33,77,44,medium
319,Ruperta,Calderbank,80,73,-7,critical
320,Elliott,Farebrother,71,89,18,high
321,Ludvig,Heckner,41,15,-26,critical
322,Courtenay,Scrowton,31,42,11,high
323,Jennica,Lorens,24,1,-23,critical
324,Nelli,Whartonby,76,30,-46,critical
325,Nana,Sinisbury,97,78,-19,critical
326,Johnath,Sauvage,34,18,-16,critical
327,Stacie,Tunnah,70,3,-67,critical
328,Malina,Dumphreys,44,37,-7,critical
329,Maurie,Harriott,34,19,-15,critical
330,Aguste,Bartczak,13,8,-5,critical
331,Abey,Wilder,32,59,27,medium
332,Brittany,Kiessel,71,55,-16,critical
333,Gayle,Jaher,83,87,4,high
334,Georgy,Burr,40,23,-17,critical
335,Ainslee,Stailey,63,93,30,medium
336,Marika,Bellard,39,12,-27,critical
337,Ari,Prott,62,16,-46,critical
338,Timmie,Georgi,34,94,60,low
339,Bertie,Boylin,36,11,-25,critical
340,Helenka,Biggin,90,73,-17,critical
341,Lucien,Kindread,89,70,-19,critical
342,Em,Tetley,27,30,3,high
343,Corilla,Ferrand,87,71,-16,critical
344,Vinson,Inkin,76,82,6,high
345,Kristo,Assender,7,39,32,medium
346,Padget,Panchin,37,80,43,medium
347,Elston,Pilmore,48,22,-26,critical
348,Avery,Costellow,44,24,-20,critical
349,George,Arson,86,94,8,high
350,Federico,Glusby,30,86,56,low
351,Ikey,Skocroft,32,56,24,high
352,Mersey,Broadhead,52,24,-28,critical
353,Ketti,Enns,58,20,-38,critical
354,Gunar,Bridger,39,77,38,medium
355,Hershel,Reinbach,53,17,-36,critical
356,Alfy,Whyley,18,59,41,medium
357,Amaleta,Soutter,21,63,42,medium
358,Devy,Antham,47,38,-9,critical
359,Myca,Lob,84,25,-59,critical
360,Valdemar,Bamlett,42,98,56,low
361,Bessy,Banasiak,28,23,-5,critical
362,Tabina,Kleingrub,42,49,7,high
363,Elita,Betteriss,41,100,59,low
364,Cale,Witz,51,44,-7,critical
365,Frank,Karadzas,52,91,39,medium
366,Frank,Darragh,95,30,-65,critical
367,Roarke,Foden,1,67,66,low
368,Barde,Kinnoch,15,56,41,medium
369,Esme,Sinyard,58,90,32,medium
370,Dolly,Cocher,51,11,-40,critical
371,Erl,Ranstead,40,40,0,high
372,Ansel,McNelly,63,56,-7,critical
373,Mellisent,Barthelmes,86,85,-1,critical
374,Brittney,O'Gready,3,26,23,high
375,Rochette,Larter,82,33,-49,critical
376,Jehanna,Fardo,40,42,2,high
377,Rahel,Gutherson,54,83,29,medium
378,Towney,Bann,1,44,43,medium
379,Adriano,Squire,56,77,21,high
380,Gene,Eves,45,22,-23,critical
381,Dodi,Ollis,2,83,81,none
382,Abbe,Belhomme,28,78,50,low
383,Ximenes,Annon,74,42,-32,critical
384,Alex,Geddes,88,44,-44,critical
385,Rosalinda,Jeskins,12,93,81,none
386,Aleksandr,Newson,11,18,7,high
387,Tate,Severwright,73,11,-62,critical
388,Elana,Wellard,69,79,10,high
389,Land,Mill,94,96,2,high
390,Jessika,Doers,84,88,4,high
391,Arny,Syddie,46,43,-3,critical
392,Eolande,Theml,6,53,47,medium
393,Lynne,Iston,69,56,-13,critical
394,Aurthur,Mac Geaney,38,90,52,low
395,Gennie,Billany,22,45,23,high
396,Cass,Feragh,56,24,-32,critical
397,Maddie,Wardle,50,12,-38,critical
398,Leone,Stracey,74,24,-50,critical
399,Mei,Empleton,87,3,-84,critical
400,Beryle,Benko,43,79,36,medium
401,Denney,Paoletti,97,70,-27,critical
402,Enos,Orto,79,51,-28,critical
403,Dominique,Simonel,44,34,-10,critical
404,Fairfax,Baton,73,75,2,high
405,Rosemary,Palser,63,96,33,medium
406,Davide,Cobelli,22,81,59,low
407,Ysabel,Maker,38,74,36,medium
408,Alena,Lovett,71,31,-40,critical
409,Aleece,Synder,86,75,-11,critical
410,Malissa,Schieferstein,7,99,92,none
411,Mira,McAnellye,92,71,-21,critical
412,Dorthy,Quittonden,66,26,-40,critical
413,Rafaelia,Dies,63,89,26,medium
414,Tori,Botwood,54,63,9,high
415,Krispin,Sahnow,46,43,-3,critical
416,Francisca,Gerold,9,79,70,low
417,Branden,Hartus,50,12,-38,critical
418,Diarmid,Prestwich,73,56,-17,critical
419,Lyman,Baldazzi,23,6,-17,critical
420,Gunar,Westmarland,83,80,-3,critical
421,Abrahan,McGorman,79,57,-22,critical
422,Georgianna,Orbine,1,33,32,medium
423,Gerik,Howatt,73,13,-60,critical
424,Hyacinth,Dagger,81,63,-18,critical
425,Debby,Rosedale,20,52,32,medium
426,Emmet,Caseri,24,26,2,high
427,Sarajane,Epple,31,93,62,low
428,Mina,Towe,98,64,-34,critical
429,Kayle,Fladgate,20,64,44,medium
430,Nevin,Simonin,32,57,25,medium
431,Tiena,Madison,80,54,-26,critical
432,Tressa,Bossom,31,57,26,medium
433,Roy,Krinks,56,56,0,high
434,Madlin,Labbez,77,23,-54,critical
435,Quintina,Crooke,20,30,10,high
436,Edy,Ilieve,61,87,26,medium
437,Remus,Schlagtmans,50,39,-11,critical
438,Addy,Necolds,37,76,39,medium
439,Lester,Hayselden,35,77,42,medium
440,Cosimo,Raycroft,63,78,15,high
441,Glenda,Grassi,51,60,9,high
442,Wood,Brand,42,46,4,high
443,Cinderella,Rothschild,37,79,42,medium
444,Vikky,Brackenridge,65,85,20,high
445,Sherri,Betjes,15,20,5,high
446,Rice,Skellorne,57,96,39,medium
447,Roselle,Wisam,7,94,87,none
448,Anne-marie,Atling,14,60,46,medium
449,Zackariah,Axelby,29,95,66,low
450,Sophia,Jirieck,46,31,-15,critical
451,Prue,Beaze,33,28,-5,critical
452,Athene,Spinage,20,98,78,none
453,Mitzi,Piesing,36,66,30,medium
454,Kitti,O' Donohoe,37,21,-16,critical
455,Drona,Reuben,57,79,22,high
456,Hermie,Borres,4,73,69,low
457,Aurlie,Deaville,99,91,-8,critical
458,Gilemette,Matschke,14,90,76,none
459,Veronique,Greenwood,42,46,4,high
460,Ugo,Baum,52,48,-4,critical
461,Berkley,Sidary,41,92,51,low
462,Catha,Sebley,9,63,54,low
463,Julissa,Redfern,73,39,-34,critical
464,Tory,Phizackarley,88,58,-30,critical
465,Catherine,Gratrex,54,47,-7,critical
466,Sophia,O'Riordan,86,20,-66,critical
467,Vin,Mulliss,26,100,74,low
468,Frannie,Pelosi,5,19,14,high
469,Meriel,Leifer,40,99,59,low
470,Giles,Cerro,96,43,-53,critical
471,Blake,Chansonne,2,30,28,medium
472,Reese,Wicken,63,78,15,high
473,Jase,Lauga,13,82,69,low
474,Beck,Bonett,92,84,-8,critical
475,Carey,Ditter,69,54,-15,critical
476,Haroun,Delucia,15,36,21,high
477,Christalle,Howsley,95,3,-92,critical
478,Fredric,Pollock,9,89,80,none
479,Elsy,Rainsdon,15,84,69,low
480,Nessa,Barritt,62,12,-50,critical
481,Clerissa,Guiden,97,26,-71,critical
482,Theressa,Cargen,64,70,6,high
483,Keene,Kift,50,89,39,medium
484,Arabel,Antrag,61,37,-24,critical
485,Adeline,Stein,9,49,40,medium
486,Aloysia,O' Hogan,67,2,-65,critical
487,Emmalee,Kingett,3,47,44,medium
488,Jackson,Mearns,84,92,8,high
489,Lexy,Spellsworth,79,88,9,high
490,Christine,Del Castello,59,54,-5,critical
491,Kris,Caslin,69,7,-62,critical
492,Berry,Forkan,61,60,-1,critical
493,Catie,Lewinton,31,78,47,medium
494,Paulita,Ivanishchev,37,60,23,high
495,Doll,Cazin,46,18,-28,critical
496,Tyne,Emberson,80,60,-20,critical
497,Pippo,Lafond,81,37,-44,critical
498,Modestine,Ewins,4,27,23,high
499,Aubine,Pollastrino,18,81,63,low
500,Emmett,Berthouloume,79,12,-67,critical
501,Marya,Freegard,84,15,-69,critical
502,Berne,Bishopp,74,80,6,high
503,Ronny,Bartalini,51,100,49,medium
504,Daveen,Pentecust,40,41,1,high
505,Norma,Salzen,29,58,29,medium
506,Darrick,Jacquemard,60,77,17,high
507,Dani,Maus,78,27,-51,critical
508,Schuyler,Clayson,49,39,-10,critical
509,Coleman,Skentelbury,55,31,-24,critical
510,Chris,Mothersole,92,93,1,high
511,Percival,Linch,58,98,40,medium
512,Amalle,Ker,14,10,-4,critical
513,Valera,Blance,59,36,-23,critical
514,Giuditta,Lukianovich,25,1,-24,critical
515,Devy,Tryme,23,47,24,high
516,Barbey,Tantrum,97,43,-54,critical
517,Dyna,Reboulet,29,57,28,medium
518,Whitby,Broe,7,91,84,none
519,Morly,Biddle,47,93,46,medium
520,Norris,Scrange,4,8,4,high
521,Hollie,Berk,31,54,23,high
522,Pietro,Hairsine,74,42,-32,critical
523,Enoch,Garrettson,33,58,25,medium
524,Lindsey,Mennell,84,52,-32,critical
525,Kelby,Angerstein,53,92,39,medium
526,Urban,Sunnucks,56,82,26,medium
527,Rosa,Pinkney,10,62,52,low
528,Rivi,Tebbet,74,39,-35,critical
529,Kevin,Chese,87,99,12,high
530,Julissa,Beccero,43,84,41,medium
531,Ainslie,Brimicombe,45,94,49,medium
532,Aryn,Westlake,60,18,-42,critical
533,Candis,Middiff,24,51,27,medium
534,Adel,Boldra,35,70,35,medium
535,Tye,Remnant,21,53,32,medium
536,Ashby,O'Noland,26,10,-16,critical
537,Brigit,Killeley,90,7,-83,critical
538,Aurea,Corroyer,59,22,-37,critical
539,Ardelle,Clawsley,47,29,-18,critical
540,Garnette,Reach,16,3,-13,critical
541,Burlie,Lander,80,21,-59,critical
542,Hermann,Phillott,75,91,16,high
543,Alvira,Prydie,76,79,3,high
544,Adorne,Jobbins,8,12,4,high
545,Fionna,Hartright,25,44,19,high
546,Roxana,Follan,38,25,-13,critical
547,Adair,Sebastian,85,78,-7,critical
548,Kincaid,Harper,10,99,89,none
549,Therine,McBean,85,77,-8,critical
550,Mellicent,Valenti,71,39,-32,critical
551,Alard,Castelletti,74,2,-72,critical
552,Earl,Friatt,57,10,-47,critical
553,Shane,O'Regan,51,8,-43,critical
554,Mordy,Kubicki,62,33,-29,critical
555,Nowell,Iianon,59,93,34,medium
556,Catlin,Baptista,63,48,-15,critical
557,Maureene,Mungin,61,2,-59,critical
558,Fields,Planke,61,1,-60,critical
559,Bobbie,McCaffrey,47,13,-34,critical
560,Seamus,Guilloud,52,30,-22,critical
561,Bogart,Faulds,14,59,45,medium
562,Helen-elizabeth,Duggan,60,16,-44,critical
563,Lutero,Heintsch,58,48,-10,critical
564,Andra,Sunshine,79,84,5,high
565,Teriann,Knottley,21,74,53,low
566,Celestina,Crawforth,73,80,7,high
567,Orsa,Mandres,2,57,55,low
568,Kym,Dumphries,96,52,-44,critical
569,Janet,McAneny,55,76,21,high
570,Alec,Tabour,80,96,16,high
571,Tye,Daldan,53,74,21,high
